item_id,description,imageURLHighRes
B0007CIOHM,"[CLS] This foamies bucket of flowers and friends themed stickers. Just peel and stick. Great for classroom use, birthday parties, scouts, and group projects. Pair with Foamies sheets, pennants, door hangers, visors and more for a variety of open-ended craft projects. This products weighs 5-ounce. [SEP]",https://images-na.ssl-images-amazon.com/images/I/51elYAdRhIL.jpg
B0045MK2CA,"[CLS] Immediately after releasing our Adjustable Body Mounts for the Traxxas Slash 4x4 (#73932), RPM customers with the 2wd version of the Slash wanted adjustable, more durable body posts too. RPM Adjustable Body posts for the Traxxas Slash 2wd are here and are designed for durability and strength while still allowing you to change the body height on the truck. Our unique body post mounting system allows the option of using the stock body height on the chassis. The body can also be lowered as much as 3/16 or raised as much as 3/8 simply by moving the posts up or down on the mounts. [SEP]",https://images-na.ssl-images-amazon.com/images/I/31juZUMFh-L.jpg
B004YNQXGO,[CLS]  [SEP],https://images-na.ssl-images-amazon.com/images/I/41D9h6DvXnL.jpg
B005CNBTA0,[CLS] LEGO Minifigure Wrapping Paper 853240 [SEP],https://images-na.ssl-images-amazon.com/images/I/51Nh4acoufL.jpg
B00000K0AS,[CLS] This jumbo-sized kaleidoscope comes with a double-color glitter wand. Both of the colors create fun slow-motion images. [SEP],https://images-na.ssl-images-amazon.com/images/I/61MCli2QV1L.jpg
B001W2QYBE,[CLS] 2000 Diamond Table Confetti Wedding Bridal Shower Party Decorations 1/3ct - Many Colors Available [SEP],https://images-na.ssl-images-amazon.com/images/I/31CG4Gxcy%2BL.jpg
B00388EQT2,"[CLS] Your little buccaneer will travel the high-seas with this Serpent Pirate Ship by Fisher-Price, featuring a firing cannon. [SEP]",https://images-na.ssl-images-amazon.com/images/I/51Y5N3mgi6L.jpg
B000H6HBH2,"[CLS] At Safari Ltd, we carefully craft our products for the most discerning eyes of all: those of a child. The Wild Safari Sealife series was designed for the hands of the smaller child. Each figure is finely hand painted and sculpted by experts which ensures authenticity. By providing educational information in five languages, we encourage the awareness of these endangered sea animals and their habitats throughout the world.All our products are phthalate-free and thoroughly safety tested to safeguard your child's health. We take pride in providing breathtaking, innovative and value priced figures for now over three generations. [SEP]",https://images-na.ssl-images-amazon.com/images/I/41Cz%2BRHrloL.jpg
B001617RW6,"[CLS] Tempting your children to try some delicious vegetables will be much easier once they have played with these realistically sized fresh from the farm veggies! There are 7 pieces packed in this crate of harvested seasonal favorites. This durable, molded-plastic food is ideal for kitchen and grocery play. [SEP]",https://images-na.ssl-images-amazon.com/images/I/41VtT5yXK0L.jpg
B000F9IZFS,"[CLS] Like a pirate who follows the clues of a treasure map, your patience will be rewarded when you assemble this 100-piece puzzle. 2' x 3' when completed, it features extra-thick pieces with an easy-clean surface that keeps them looking like new. [SEP]",https://images-na.ssl-images-amazon.com/images/I/61dsqsFju9L.jpg
B000096QDK,"[CLS] This Ultra Pro Blue Deck Box holds cards in Deck Protector sleeves. Made from acid free, durable polypropylene material. Great storage for your favorite CCG or TCG game. Magic, Pokemon, YuGiOh! and More! [SEP]",https://images-na.ssl-images-amazon.com/images/I/31r%2BnQakN4L.jpg
B000IDD0Q0,"[CLS] It's mad science! Your child can blast into Halloween dressed as a Mad Scientist and with this Mad Lab Kit, they will have everything they need! Rubie's Costume Company has been bringing costumes and accessories to the world since 1950. As the world's leader we take seriously the mission to make dressing up fun. Mascots, rental quality costumes, masks, wigs, accessories, shoes and every significant licensed costume you want to wear can be found under the Rubie's brand. Still family owned, still family focused; Rubie's brings you fun for every season, Halloween, Christmas, Mardi Gras, Easter and all in-between. [SEP]",https://images-na.ssl-images-amazon.com/images/I/51riSVZEe8L.jpg
B004D3A9AG,"[CLS] Asara is a strategic board game for 2-4 players ages 9+, who assume the roles of famous architects. Players compete to build the highest, grandest and largest number of towers over four rounds of play. Each step of the way, the architects must keep their sights set on their work as they overcome obstacles and competitive forces and strive to gain prestige points for their building achievements. The player who earns the most prestige wins. A nominee for the 2011 German Game of the Year Award from Spiel des Jahres e.V., Asara was created by celebrated, award-winning game developer Wolfgang Kramer. <P> <table cellpadding=10 cellspacing=0 border=0 width=250 align=left> <tr><td align=center> <img src=https://images-na.ssl-images-amazon.com/images/G/01/toys/detail-page/2011/B004D3A9AG-1.jpg alt=Asara - Land of the 1000 Towers. width=300,height=180></a><br><br><font size=1><b><em>Immersive strategy game for players who like to build world-class structures. <br></em></b></font> </td></tr> <tr><td align=center><img src=https://images-na.ssl-images-amazon.com/images/G/01/toys/detail-page/2011/B004D3A9AG-2.jpg alt=Asara by celebrated game author Wolfgang Kramer is a beautifully illustrated strategy game with high-quality content. width=300,height=180></a><br><br><font size=1><b><em>Beautifully illustrated, high-quality game content with additional game elements for an even more challenging game play!<br></em></b></font> </td></tr> </table> <b>Become the Most Famous Architect in the Land</b> <br>In Asara, the Land of the 1000 Towers, players take on the roles of rich building magnates - Timanis, Mirar, Leiard, and Faraiel - who compete against one another to become the most acclaimed builder in the land. Competitors must dispatch their buyers to the four marketplace areas on the octagon-shaped game board to purchase each of the needed tower sections - base, trunk, window, and turret - in five different material grades represented by various colors. As players build their towers, they earn prestige points, which are awarded after each round. Additional points can be earned with the purchase of extra tower decorations such as gold medallions. These purchases are made using Asari, the game's currency. <P> <P><b>Encourages Strategic Thinking and Focus</b> <br>Asara keeps players on their toes, thinking through their construction plans, managing their Asari money and adjusting their strategy as the game moves forward and their construction needs change. Game play takes about 45 minutes on average and players must remain focused on building their towers and completing the steps necessary to acquire the components they need. While keeping a competitive eye on other player's progress they collect as many prestige points as possible to become the most famous builder. For more competitive play, there is the professional version of Asara that uses the same basic rules and additional game elements for an even more challenging experience. <P> <P><b>Players Work Side by Side </b> <br>Asara players draft their individual actions, take them one at a time and in turn order with specific cards and game pieces. As they work independently to achieve specific goals, they must be fully versed in the game's rules so as not to miss important steps and opportunities to gain points that ultimately lead to victory. Asara encourages strategic thinking, reinforces the importance of sequencing and hones memory skills. <P> <b>What's In The Box?</b> <br>1 game board, 4 scoring counters, 1 year counter, 52 Asari coins, 100 tower pieces, 4 observation barriers, 45 merchant cards, overview guide, and 1 set of instructions. <br clear=all> <table cellpadding=30 cellspacing=0 border=0 align=center> <tr> <td align=center> <img src=https://images-na.ssl-images-amazon.com/images/G/01/toys/detail-page/2011/B004D3A9AG-3.jpg alt=Players compete to build the highest, grandest and largest number of towers over four rounds of play. width=560,height=250></a><br><br><font size=1><b><em>Players compete to build the most impressive towers. </b></em></font> </td></tr> </table> <br clear=all> [SEP]",https://images-na.ssl-images-amazon.com/images/I/51F%2BeZ3VwuL.jpg
B001QKIVO0,"[CLS] Skwish from Manhattan Toy is a time honored classic, instantly recognizable, an intriguing blend of ingenious design and developmental function. The geometrical shape and interconnecting wooden dowels have long piqued the curiosity of adults  imagine how it must appear to a baby as they begin to experience the world around them? Skwish may not turn every baby into a mathematical genius, but every baby can joyfully benefit from its unique developmental features. Its natural finish and one of a kind shape instantly capture babys attention. The lightweight wooden dowels, smooth finish, and elastic ties make it easy for little hands to grab and hold. Babies will love Skwishing it down and watching it return to its original shape  Skwish is a perfect clutching toy for developing gross motor skills. The beads slide back and forth along the dowels when shaken, producing a very pleasing rattle and allowing baby to explore sound and learn cause and effect. The spatial and tactile elements have been shown to be helpful to those on the Autism spectrum. Skwish is carefully constructed of sustainable wood and features a smooth, un-dyed exterior surface. Since 1979, Manhattan Toy has been making award-winning, high quality, educational toys for your baby, toddler or kid. From infant toys and baby toys to sensory development toys, our goal is to provide the safest and best toys available. All of our products, from the newest concepts to our time-tested classics, are innovatively designed to inspire imaginative play and are routinely safety tested to pass strict CPSC, ASTM, EN71 and Health Canada safety standards. [SEP]",https://images-na.ssl-images-amazon.com/images/I/518JyX28xaL.jpg
1633441105,"[CLS] Embark on thrilling new missions with one of the galaxy's most formidable bounty hunters: Boba Fett! The Boba Fett Villain Pack for Imperial Assault comes with a detailed plastic Boba Fett figure, alongside essential new cards and missions. For the skirmish game, this expansion offers Command cards that open powerful new strategies and a new skirmish map with two unique missions. In the campaign game, this expansion allows the Imperial player to hunt the heroes with a three-card Agenda set that includes a thematic new side mission. [SEP]",https://images-na.ssl-images-amazon.com/images/I/51HbdA-uSNL.jpg
B0035RRPU8,[CLS] A wild selection of fun monster character plush figures. Great as party favors and prizes at a monster bash! [SEP],https://images-na.ssl-images-amazon.com/images/I/31aFPv-6kyL.jpg
B000E9DPCW,"[CLS] Have fun on the farm with this extra-thick wooden puzzle. It includes seven easy-grasp, chunky farm animals and a barn. Each piece has a full-color, matching picture underneath. The barn and animal pieces stand upright for pretend play. Encourages hand-eye, fine motor and creative expression skills. [SEP]",https://images-na.ssl-images-amazon.com/images/I/41ykGK7yl2L.jpg
B000N5OIE6,"[CLS] The original mini-trampolines for the feet. With Moon shoes, kids have incredible fun as they jump with anti-gravity effects while developing balance and coordination. Made of quality, high-density plastic, with adjustable Velcro brand nylon closure straps, Moon shoes feature a self-centering shoe platform with non-skid grip surface for sure-footed, high-bouncing thrills. Fits up to size 9 men's shoe. Maximum total weight is 160 lbs. Easy, adult assembly. No tools required. [SEP]",https://images-na.ssl-images-amazon.com/images/I/41heW-l9wgL.jpg
B0002CYPP2,[CLS] ROADMAX Excavator [SEP],https://images-na.ssl-images-amazon.com/images/I/419XNGVd%2BCL.jpg
B001IQ1D56,"[CLS] Its easy to fall for this fluffy puff of a Pomeranian. With excellent quality construction, it features attention to lifelike details, from the tips of its pointed ears, right down to the tip of its curled tail. Authentic coloring adds to the realism. [SEP]",https://images-na.ssl-images-amazon.com/images/I/31u1jaEV4GL.jpg
B0037UT1RI,[CLS]  [SEP],https://images-na.ssl-images-amazon.com/images/I/41S-rY7xkTL.jpg
B000ICZ8TI,"[CLS] This bendable, poseable Gumby is a green wonder! Measures 6 tall, Pokey in fun and flexible! Recommended for ages 3 years and up. [SEP]",https://images-na.ssl-images-amazon.com/images/I/51ZMqoi6ATL.jpg
B004MYH0D0,"[CLS] Launch into Action, defeat the Minions and save the day. Every good spy knows things are never what they seem. Enter the exciting world of Cars 2 Action Agents with a playset filled with undercoverA surprises. The ship opens up to reveal secret features like springloaded action points, Finn McMissile vehicle and a launcher. Launch Finn McMissile into action aboard the Combat Ship to take down the evil minions. Drive upside down and knock out the bad guys. Aim, launch and capture Professor Z in jail. Includes Finn McMissile and launcher. Kids will love reenacting their favorite scenes from the movie with the Cars 2 Action Agents Battle Station Playset. [SEP]",https://images-na.ssl-images-amazon.com/images/I/41HhjWDtLpL.jpg
B0032HF60M,"[CLS] It's a Killer Whale of a good time driving this RC amphibious famous creature of the sea. With it's 4 x 4 high power, drive over rocks and dirt on land and then morph onto water. Watch the wake forming treaded paddles style wheels pull your Morphibian on water and then steer your water friend back onto land for exciting duel play fun! Full function and remote control. For Ages 5+. [SEP]",https://images-na.ssl-images-amazon.com/images/I/51fwSfTn9tL.jpg
B004USMDPS,"[CLS] The Magic Spring - 4.5 inch, Plastic in rainbow colors is great fun. Stretch out this large spring and watch it will snap right back. It also makes a cool slinkity sound, just like a slinky. It's a stress reliever, pen holder, memo holder and artwork all in one. You can move the spring back and forth between your hands while you contemplate a business decision, talk to a co-worker or sit in a planning meeting. Relieve some work related stress with a Magic Spring today. [SEP]",https://images-na.ssl-images-amazon.com/images/I/4113NlIqaRL.jpg
B001Q3KU9Q,[CLS] Dump truck - FFP packaging [SEP],https://images-na.ssl-images-amazon.com/images/I/41iUa3D0LZL.jpg
B004C7MEWY,[CLS] Your child will be sitting pretty with Bella in this delightful folding chair with its brightly striped and sturdy metal frame. It also has a handy cup holder positioned at your child's fingertips! [SEP],https://images-na.ssl-images-amazon.com/images/I/51cceEh1sQL.jpg
B004L9LNUC,"[CLS] Scientific Explorer My First Outer Space Science Kit has everything you need to bring the outer space indoors.What do you see in the sky at night? The moon and stars and maybe even another planet! But theyre so far away. Lets bring them closer to home. This kit allows your child to create amazing displays of stars and planets on their ceiling and walls. Children can make their own pattern of shining stars and have planets that glow in the dark. Along the way, your child will learn some really cool science about all the things floating around in space. Each of the4 included activities will have your child acting and thinking like theyre areal scientist. Theyll compare things, ask questions and make observations using their senses. Lets get spaced out! Includes 2 constellations discs, 2 sticker sheets, solar system poster, star film set, solar system film set,space projector and a 9-page activity guide. Requires 3 AAbatteries, not included. Recommended for children 4 years of age and older with adult supervision. [SEP]",https://images-na.ssl-images-amazon.com/images/I/61-Qv9-fP0L.jpg
B00000K3VR,"[CLS] Made in Italy...Our Clarinet has 8 colored keys/notes and is made by Bontempi.  A quailty innovated toy for the young musican.Learn to play 3 songs / instructions included - Jingle Bells , Twinkle Twinkle Little Star , Oh Susanna. Recommended for children 3 years and up16 5/8 in length.  Made in Italy [SEP]",https://images-na.ssl-images-amazon.com/images/I/41TKxEcxDNL.jpg
B000FBLP12,"[CLS] This item is sold by cases of: [24] items.14 3 Assorted Color Laydown Cats: black, gray and white. [SEP]",https://images-na.ssl-images-amazon.com/images/I/41eLKeG3ZKL.jpg
B000E8BHLE,"[CLS] 132531 Features: -: Meticulously detailed cockpit with ejector seat and control panels. -: Moving tail stabilizers. -: Canopy may be fixed in the open or closed position. -: Authentic waterslide decals and stencil decals. Product Type: -Hobby / Model Kits. Vehicle Type: -Planes. Color: -Multi-Colored. Color: -Silver. Age Range: -8 to 11 Years. Generic Dimensions: -2.5 H x 9 W x 16 D, 0.9 lb. Dimensions: Overall Height - Top to Bottom: -2.5 Inches. Overall Width - Side to Side: -9 Inches. Overall Depth - Front to Back: -16 Inches. Overall Product Weight: -0.9 Pounds. [SEP]",https://images-na.ssl-images-amazon.com/images/I/31IOlevVCCL.jpg
B000OHKTXW,"[CLS] The Crocodile stage puppet from Folkmanis features an easily animated mouth and operable arms. Design details include soft sculpted plush with flexible molded claws and teeth and a lots of fun to snap. Ideal for use in interactive stage and puppet theater, Folkmanis Puppets are also great for teaching, daycare, school, pretend play, games and parties, or to pair with a book for storytelling. Easy to feed and care for, just add lots of love and snuggly fun. This puppet measures 8 x 4 x 13 inches (LxWxH). Folkmanis has been encouraging young imaginations to blossom since 1976 with its innovative and engaging specialty puppets, promoting creativity and discovery while winning nearly every industry, child development, and kid-tested award. Folkmanis has grown to become the premier manufacturer of plush puppets worldwide, offering over 200 of the most heartwarming and realistically designed creatures--both exotic and familiar--on the market today. (Birthday: January, 2007). [SEP]",https://images-na.ssl-images-amazon.com/images/I/41j5XCzA0KL.jpg
B001UCIM8E,"[CLS] ALEX Toys - Early Learning, Wash & String, 1486W lets you string big chunky wooden pieces together. Each set includes (12) wooden beads, wooden needle, cotton lace and stopper. A part of the Wooden Stringing Sets collection, this set is a laundry and clothing theme. One of Dr. Toy's Best New Products and winner of Oppenheim Toy Portfolio Gold Seal Award. ALEX Little Hands is specifically designed for the physical, cognitive and practical needs of toddlers and preschoolers. With big, chunky pieces that are safe and easy to manipulate, Little Hands is perfectly suited to their abilities and attention spans. Hidden under the fun factor, preschoolers are learning and improving basic skills including manual dexterity, sequential thinking and spatial relations. Most importantly, Little Hands encourages success  a critical element for building confidence and self-esteem. ALEX Toys - Early Learning, Wash & String, 1486W is recommended for age 3 and up. ALEX Toys takes the mission of providing children with quality creative products that foster personal expression and build self-esteem to heart! ALEX products are currently sold in over 80 countries worldwide in specialty toy and retail shops. Visit <a href=http://www.amazon.com/Alex-Brands/pages/default>www.amazon.com/alex-brands</a> for more information on Alex Brands and our best-selling line of educational and entertaining products for kids. [SEP]",https://images-na.ssl-images-amazon.com/images/I/41YGZ6G6H6L.jpg
B004X46HEM,"[CLS] The Monster Collection is generally recognized as a 2 inch mini-figure collection among fans. However, due to the unique design of each Pokemon figure, some of the figures may be smaller and some may be bigger than 2 inch. The whole collection is collectively known as a 2 inch figure series, but each individual figure may be slightly different in size. [SEP]",https://images-na.ssl-images-amazon.com/images/I/51ie%2BQguTeL.jpg
B0026FBHHC,[CLS] Janod Magnetibook Boy's Outfits is part of the award winning magneti'book range from Janod and is all about boys and their costumes. Follow the cards and become one of the 8 different characters or mix and match to develop your own persona. 34 different magnetic vinyl fridge magnets present your child with oh so many options. A wonderful magnetically closing book box to store all the 48 magnets and cards on the shelf. Recommended for ages 3 years and older. [SEP],https://images-na.ssl-images-amazon.com/images/I/5184FeGjCyL.jpg
B004C7OIGY,"[CLS] <!--[if gte mso 9]><xml> <w:WordDocument> <w:View>Normal</w:View> <w:Zoom>0</w:Zoom> <w:TrackMoves /> <w:TrackFormatting /> <w:PunctuationKerning /> <w:ValidateAgainstSchemas /> <w:SaveIfXMLInvalid>false</w:SaveIfXMLInvalid> <w:IgnoreMixedContent>false</w:IgnoreMixedContent> <w:AlwaysShowPlaceholderText>false</w:AlwaysShowPlaceholderText> <w:DoNotPromoteQF /> <w:LidThemeOther>EN-US</w:LidThemeOther> <w:LidThemeAsian>X-NONE</w:LidThemeAsian> <w:LidThemeComplexScript>X-NONE</w:LidThemeComplexScript> <w:Compatibility> <w:BreakWrappedTables /> <w:SnapToGridInCell /> <w:WrapTextWithPunct /> <w:UseAsianBreakRules /> <w:DontGrowAutofit /> <w:SplitPgBreakAndParaMark /> <w:EnableOpenTypeKerning /> <w:DontFlipMirrorIndents /> <w:OverrideTableStyleHps /> </w:Compatibility> <w:BrowserLevel>MicrosoftInternetExplorer4</w:BrowserLevel> <m:mathPr> <m:mathFont m:val=Cambria Math /> <m:brkBin m:val=before /> <m:brkBinSub m:val=&#45;- /> <m:smallFrac m:val=off /> <m:dispDef /> <m:lMargin m:val=0 /> <m:rMargin m:val=0 /> <m:defJc m:val=centerGroup /> <m:wrapIndent m:val=1440 /> <m:intLim m:val=subSup /> <m:naryLim m:val=undOvr /> </m:mathPr></w:WordDocument> </xml><![endif]--> <p class=MsoNormal>Catching flies is the happy task of Verdie Chameleon! A double-sided bean bag toss game provides two challenging ways to play. Eight bean bags team with this colorful target to increase hand-eye coordination, number recognition and counting skills.<span style=font-family: &quot;Cambria&quot;,serif; color: black;></span> [SEP]",https://images-na.ssl-images-amazon.com/images/I/51t-Ek6dnzL.jpg
B000GL1DI6,"[CLS] From sea star to jellyfish, this 24-piece wooden jigsaw puzzle is filled with colorful ocean life! Discover the wonders of the deep blue sea by assembling this fascinating underwater scene. This colorful kids' puzzle comes packaged in a sturdy wooden tray, providing a stable play surface and easy storage. [SEP]",https://images-na.ssl-images-amazon.com/images/I/51bqt3I8VlL.jpg
B0002YV94U,"[CLS] The PlayStar Swing Seat is soft, flexible, and light, so you can reach the clouds faster. Swing Seat kit includes chain that's rubber-coated so it won't pinch or hurt. PlayStar thought of everything. About PlayStar PlayStar was started in the Heartland of America, in the garage of an entrepreneur with this dream: to build a foundation of people who were hardworking, friendly, professional and self-motivated to ''do the right thing,'' to offer the ultimate customer service and provide the highest value, best quality and most innovative products. All PlayStar Playsets are designed following company safety standards that exceed government guidelines, to enhance your child's physical development and social skills. High quality flexible swing seat. Includes rubber-coated chain. Rated 120 lbs. with Standard Swing Hanger. [SEP]",https://images-na.ssl-images-amazon.com/images/I/41QCiOXWVRL.jpg
B00149XVS4,"[CLS] Educational Insights Blends and Digraphs Phonics Dominoes emphasizes beginning consonant blends and digraphs, word building, and spelling patterns. Kids can form hundreds of words and the dominoes are printed with high-utility consonant blends, digraphs, and important phonograms. Pack includes a solid storage container, an activity guide, and 84 dominoes. [SEP]",https://images-na.ssl-images-amazon.com/images/I/31MmyS1lYkL.jpg
B00005JG32,"[CLS] Two classics unite for a game the whole family can enjoy. Monopoly-The Disney Edition features your favorite Disney characters on collectible playing pieces, game cards and more. 32 White Rabbit cottages and 12 Sleeping Beauty castles replace houses and hotels for building properties. Set includes 60 game cards, Disney money, a game board and 2 dice. For 2 to 8 players, ages 8 and up. Made in USA with imported parts. 2002 Disney [SEP]",https://images-na.ssl-images-amazon.com/images/I/61lKmvZwNHL.jpg
B005EGTN2Q,"[CLS] Walk the dog with the Toysmith Stainless Steel Yo-Yo Toy. Achieve your longest spin times with this ball bearing axle yo-yo that promises to amaze. Measuring 2-inches in diameter and designed to give you the maximum spin time, this hyperspin yo-yo allows to you to try all the tricks in your arsenal. Yo-yos offer hours for timeless fun for kids and adults alike. Made using safe and high quality materials, this product is built to last. Recommended for ages 5 years and up. [SEP]",https://images-na.ssl-images-amazon.com/images/I/41PvNVz41wL.jpg
B0057FOUIQ,"[CLS] The B. Ballyhoo Ball provides hours of active, imaginative fun. The Ballyhoo Ball is five wee balls that fit into one big mama ball. Play with them together or apart. Each component ball plays differently, with its own bounce, wobble and squeak. Bumps, ridges and soft spikes along the surface of each ball provide a tactile environment for young hands to explore. The Ballyhoo Ball comes in a sturdy tray for storage when not in use. Recommended for ages 6 months to 4 years. [SEP]",https://images-na.ssl-images-amazon.com/images/I/51f7TuNy2kL.jpg
B000F8R2DK,"[CLS] Colorful letters andnumbers firmly adhere to any metal surface. Great for extending beginning lessons in spelling, language, storytelling, math, and more. Set includes 36 capitals, 36 lowercase, 20 numbers, and 7 math symbols. Magnetic board sold separately. [SEP]",https://images-na.ssl-images-amazon.com/images/I/511CWQhsaZL.jpg
B0014X98FK,"[CLS] With a transmitter designed to look like motorcycle handlebars, this R/C cycle puts instant wheelie power in your hands. It can do wheelies on command! It also does great stunts like jumps, rolls, and spin outs, and just keep on going. It tears up the terrain like nothing else on just two wheels. The Wheelie Cycle gives you amazing stunt cycle action with realistic tilt-motion controls that feel and respond like the real thing. [SEP]",https://images-na.ssl-images-amazon.com/images/I/31La2NecsyL.jpg
B0049I9NIE,"[CLS] Venture with Alice and all of her topsy-turvy friends using these Stickers from Disney's animated classic, Alice in Wonderland. [SEP]",https://images-na.ssl-images-amazon.com/images/I/31OiswnlmCL.jpg
B000VWEEOA,"[CLS] Children will exercise their imaginations for hours with this magnetic playset that encourages storytelling, promote problem-solving skills, and build skills in sequencing. The 18 x 14 play board folds in half and is sealed with a clear, resilient coating to make cleanup easier. The vinyl, waterproof magnetic playing pieces provide extra hold. [SEP]",https://images-na.ssl-images-amazon.com/images/I/61i9vhDolKL.jpg
